name,description,calories,fats,proteins,carbohydrates
Galeta de persimon,"Ingredientes:
Masa
 - 180 g harina de espelta 
- 60 ml de AOVE
- 60 ml de Agua
- 2 cucharadas de sirope de agave
- 1/cucharadita de canela
Relleno
- 2 Persimon/Manzana/Pera
- Ralladura de 1 limon
- Zumo de 1 limon
- 1 cucharadita de canela
- 1 cuchara de harina de maiz
Almendras picadas para decorar
Preparación
1. Masa: mezclar todos los ingredientes, sin amasar demasiado. Envolver y y guardas 30 minutos en la nevera.
2. Relleno: Mezclar queso y azucar en un bol. Mezclar, maizana, canela, relladura de limon en un plato. Pelar el persimon y cortar en rodajas, añadirlo a la mezcla, junto con el zumo de limón. 
3. Estirar la masa y colocar las rodajas del persimon. Dobla los bordes hacia dentro y aprieta con las manos para que quede bien prensada. Colocar las almendras por encima y en los bordes.
4. Hornear 40-50 minutos a 180 grados.",1909.50,79.95,67.57,249.73
Galletas de algarroba y avellanas,,1486.05,79.97,38.04,165.64
Galletas de algarroba y nueces,,1149.40,46.07,29.69,154.18
Galletas de zanahoria,,1042.50,52.34,32.26,110.64
Galletas del mix,"1. Derretir la mantequilla.
2. Romper los huevos y batirlos \(`a mano, hasta mezclar bien`\). 
3. Mezclar huevos y mantequilla.
4. Añadir la mezcla.
5. *Amasar* hasta que la mezcla este integrada.
6. Formar bolas de unos 40 gramos.
7. Hornear 15 minutos a 190 gramos
8. Dejar reposar 5 min y comer.  
9. Salen unas 15 galletas.",2620.20,119.12,36.74,348.08
Gofre de falafel,,808.65,32.25,33.52,90.24
Gofres,,1148.21,41.31,28.00,136.26
Gofres de espinaca,,763.50,36.51,55.12,59.29
Golubtsi,,1037.55,32.67,68.75,128.43
Granizado,,115.00,0.75,0.55,30.00
Halloumi con lechga,,840.80,55.40,42.00,11.80
Hambuerguesa de garbanzos y queso,,2663.10,121.24,110.39,264.55
Hamburguesa de garbanzos y espinaca,"INGREDIENTES
- 150 gramos de garbanzo seco
- 1 hoja de laurel
- 1 diente de ajo
- 1 cucharadita de curry
- 1 cucharadita de ajo en polvo
- 50 gramos de queso azul
- 50 gramos de queso cascaval
- 300 gramos de espinacas
- 20 gramos de harina de garbanzos, con agua para hacer huevo.
- 1 cucharada de AOVE.
PREPARACION
1. Hervir los garbanzos con laurel y ajo.
2. Lavar y secar la espinaca. 
3. Mezclar la harina de garbanzos con agua para crear huevo.
4. Rallar el queso cascaval. 
5. Mezclar todos los ingredientes en un bol. 
5. Formar 4 hamburguesas y cocinarlas al horno o sarten.
",1223.05,59.79,60.88,107.09
Hamburguesa de legumbres,,2058.00,37.55,105.10,287.94
Hamburguesas del preparado,,447.55,25.55,25.50,24.75
Hummus,,752.20,42.18,26.45,67.63
Kefir con fruta y nueces,,1057.00,59.50,38.00,88.00
Kofta de bulgur y lentejas,,1305.00,36.26,49.83,209.56
Koftas de alubias y nueces,,2417.77,138.35,82.19,175.44
Kulesha con brinza,,1370.00,53.80,52.75,182.00
Lasaña,,3544.50,131.84,212.58,324.25
Lasaña con soja texturizada,,3720.50,208.94,250.30,220.57
Lechuga aliñada,,227.60,20.66,3.22,10.50
Migas con chorizo vegano (living like a Panda),,955.05,24.85,34.53,137.07
Milanesa vegana con setas,"Ingredientes
- 3 cucharas de lino, mezclar con 9 cucharas de agua.
- 4 cuchas de harina de garbanzos, mezclar con 4 cucharas de agua.
- 250 - 300 gramos de setas laminada, cortadas en finas tiras.
- Sal
- Pimienta
- Finas hierbas
- Salsa de soja
- 150 gramos de semillas de girasol
- 75 gramos de sesamo
- 1 cdita. pimienta negra 
- 1 cdita. ajo en polvo
- 1 cdita. especies carne
- Puede que un poco de agua.
- Pan rallado
Preparacion
1. Hacer huevo de lino y garbanzo.
2. Cortar las setas en finas tiras y hacerlas en la sarten con salsa de soja, finas hierbas y pimienta.
3. En un batidora triturar semillas de girasol y sesamo.
4. Mezclar las semillas, las setas con pimienta, ajo en polvo y especies de carne. 
5. Si la mezcla es muy seca, añadir agua poco a poco.
6. Dividir la masa en 4 o 8 milanesas.
7. Aplanarlas y empanarlas en pan rallado.
8. Hacer en la sarten.
",2240.05,156.64,76.80,138.96
Mungo con queso,,566.35,37.35,27.75,31.88
Pak choi con salsa de miso,"- 1 cucharada de vinagre de arroz
- 2 cucharadas de agua
- 1 cucharas de sirope de agave
- 3 cucharadas de miso
- 1 cucharadas de salsa de soja
- 1 o 2 cucharadas de zumo de limon o naranja",412.30,16.02,30.13,38.81
Pan Elias,,273.00,0.75,7.50,57.00
Pan PIzza,,832.40,39.67,46.20,69.59
Pan con queso,,1300.00,61.60,62.00,128.00
Patata con salsa de Queso,,1654.50,46.09,45.02,147.75
Patata con salsa de queso y veicon,,1833.30,91.05,79.30,196.87
"Patata rellena de queso azul y ·""pechuga""",,1853.00,48.00,83.00,155.20
Pate de aceitunas con tostas,,1112.85,89.04,10.80,64.92
Pita con falafel,,1490.00,20.19,61.00,262.56
Pizza,,1389.72,52.22,54.20,166.88
Pizza de lenteja,,1214.20,80.00,55.60,68.63
Quinoa pesto bake,,1014.60,45.17,38.95,103.93
Roasted Veggi Glow,,1334.90,94.03,44.15,152.09
Rollitios de tofu,,1287.60,51.78,43.65,167.28
Rollitos de primavera con coliflor,,1338.00,91.95,63.54,166.50
Rollitos de primavera de seitan y brotes,,1313.60,51.17,85.26,130.82
Rollitos vietnamitas,,626.77,15.90,13.64,108.34
Romanescu al horno,,496.10,30.63,14.99,30.90
Sandwich de sushi,,1336.82,75.30,61.44,103.36
"Sarraceno con Heura, lechuga y tomate",,333.30,6.92,23.50,39.21
Sarraceno con champiñones,,635.10,29.20,23.40,74.30
"Sarraceno, champis y soja",,914.80,31.35,64.70,101.35
Sarrano con castaña y shitake,,473.60,18.50,11.10,68.03
Seitan,,1558.60,58.13,188.30,42.26
Seitan con lentejas y coliflor,,917.20,42.71,102.90,122.02
Seitan con sarraceno y brocoli,,951.60,19.80,89.76,104.20
Sirni rogaliki,,2298.95,104.80,83.86,250.99
Smashed falafel,"Ingredientes
- 100 gramos de garbanzos secos
- 2 ajos
- 2 hojas de laurel
- 50 gramos de perejil
- 50 gramos de cilantro
- 1 cucharada de comino molido
- 1 cucharadita de cilantro molido
- 1 cucharadita de pimenton en polvo
- 1 pizca de copos de chile
- 1 cucharada de harina
- 1 cucharadita de sal
- 1 tomate
- 1 pepino
- Lechuga
- Pan de pita 4
",1581.50,42.72,60.98,240.07
Soja texturizada con salsa de miso,,393.90,16.62,35.56,26.49
Sushi vegano,,1660.43,57.32,75.36,216.23
Taco con tortita,,1242.24,17.94,69.63,197.21
Taco de alubias y soja,,1169.30,47.67,68.72,92.70
Taco de lechuga y Heura,,497.90,33.31,19.60,17.76
Taco de lechuga y seitan,,567.24,25.34,51.90,26.36
Taco de soja texturizada,,346.80,7.67,35.65,30.79
Tacos al seitan,,1442.45,65.86,53.62,131.66
Tallarines con pesto y champiñones,,1138.30,58.80,28.00,126.30
Tarta de algarroba y pera,,1486.10,44.04,64.32,209.83
"Tarta de avena, frambuesa y queso",,1521.10,43.70,82.22,191.58
Tarta de manzana,,1474.50,49.79,56.97,200.51
Tarta de queso,,1135.20,39.83,93.15,106.45
Tarta de queso y frambuesa,,2989.70,174.83,148.58,218.53
Tartaletas de queso al horno,,1453.60,76.22,134.43,54.24
Terchiniki,,2107.90,57.60,66.20,350.57
Tofu con romanescu,,702.80,40.50,46.40,26.80
Tofu con zanahoria y col,,632.20,35.76,39.82,40.26
Tortilla de Calabacin,,570.90,38.52,27.40,27.63
Tortita de patata,,2787.50,68.02,117.22,461.67
Tostada de aguacate,,1207.15,46.02,31.40,157.70
Tostada de aguacate 2,,915.75,33.67,38.81,106.83
Tostada de aguacate y jamón,,771.15,33.43,26.55,75.47
Tostada de embutido y brotes,,1085.80,26.89,40.39,165.05
Vareniki,,2509.50,36.67,86.01,339.58
Yuba al horno,,186.88,19.75,30.50,19.25
Yuba con verduras,,245.37,20.80,34.20,28.80
